loss;bleu_score;sentiment_acc;sentiment_score
1.4922477961927652;0.5662481330998924;0.04986149584487535;0.05155492923839226
0.6471021467670798;0.6600479586408579;0.5200803212851406;0.5205445479203109
0.5401987357009203;0.7128551001059646;0.722;0.7244713141430111
0.489149528471753;0.7334467269706657;0.814;0.8167548921491834
0.44917114505544303;0.7528212050970947;0.836;0.8417140909920854
0.41495496191829445;0.7750933211574574;0.848;0.851531649331475
0.3855451366584748;0.7898634386075892;0.864;0.8650307228546299
0.3577108744494617;0.8116697612251403;0.864;0.8627179364379844
0.33066407408192755;0.8347838360836446;0.876;0.8749209503663588
0.30431321952212603;0.8440543017308394;0.882;0.8809041704605043
0.2801117767477408;0.8511806659129054;0.896;0.892512193106726
0.25883859787415714;0.8750968802289574;0.902;0.899712208484736
0.23884175955597312;0.8883054074185023;0.904;0.9023122007252241
0.22017073874082416;0.901196953987854;0.928;0.9244352572358912
0.2042122895088978;0.9078364958380756;0.918;0.9154229180272087
